latitude,longitude,year,month,Enterococcus Bacteria (MPN/100mL) - A2LA Lab,Enterococcus Bacteria (MPN/100mL) - BWB Lab
39.126776,-76.445482,2009,5,1.7801930311830232,
39.126776,-76.445482,2009,6,32.91527608194275,
39.126776,-76.445482,2009,7,14.579029252204124,
39.126776,-76.445482,2009,8,0.0,
39.126776,-76.445482,2009,9,2.3605295289505817,
39.126776,-76.445482,2009,10,8.711065753451349,
39.126776,-76.445482,2009,11,0.0,
39.126776,-76.445482,2009,12,0.0,
39.126776,-76.445482,2010,4,10.09008611546927,
39.126776,-76.445482,2010,5,1.869242832229617,
39.126776,-76.445482,2010,6,34.17555284221951,
39.126776,-76.445482,2010,7,14.194470875285814,
39.126776,-76.445482,2010,8,0.0,
39.126776,-76.445482,2010,9,2.2206541996015683,
39.126776,-76.445482,2010,10,8.822765756374158,
39.126776,-76.445482,2010,11,0.0,
39.126776,-76.445482,2010,12,0.0,
39.126776,-76.445482,2011,4,9.318214606825519,
39.126776,-76.445482,2011,5,2.373131392204193,
39.126776,-76.445482,2011,6,31.19278252611586,
39.126776,-76.445482,2011,7,14.222700050374074,
39.126776,-76.445482,2011,8,0.0,
39.126776,-76.445482,2011,9,2.4759366364629525,
39.126776,-76.445482,2011,10,7.976247308580391,
39.126776,-76.445482,2011,11,0.0,
39.126776,-76.445482,2011,12,0.0,
39.126776,-76.445482,2012,4,8.995616927092204,
39.126776,-76.445482,2012,5,1.6889384682129163,
39.126776,-76.445482,2012,6,33.595848595848594,
39.126776,-76.445482,2012,7,13.900311158375676,
39.126776,-76.445482,2012,8,0.0,
39.126776,-76.445482,2012,9,2.4126984126984126,
39.126776,-76.445482,2012,10,10.193709141571107,
39.126776,-76.445482,2012,11,0.0,
39.126776,-76.445482,2012,12,0.0,
39.126776,-76.445482,2013,4,10.169325008394283,
39.126776,-76.445482,2013,5,2.379327258935286,
39.126776,-76.445482,2013,6,31.97924297924298,
39.126776,-76.445482,2013,7,14.520528989968719,
39.126776,-76.445482,2013,8,0.0,
39.126776,-76.445482,2013,9,2.3926290084184823,
39.126776,-76.445482,2013,10,8.522715094358004,
39.126776,-76.445482,2013,11,0.0,
39.126776,-76.445482,2013,12,0.0,
39.126776,-76.445482,2014,4,9.898064205316865,
39.126776,-76.445482,2014,5,2.178586621210107,
39.126776,-76.445482,2014,6,33.31345814679148,
39.126776,-76.445482,2014,7,13.78222230514251,
39.126776,-76.445482,2014,8,0.0,
39.126776,-76.445482,2014,9,2.5259302101407366,
39.126776,-76.445482,2014,10,11.149297064525872,
39.126776,-76.445482,2014,11,0.0,
39.126776,-76.445482,2014,12,0.0,
39.126776,-76.445482,2015,4,9.688234499773719,
39.126776,-76.445482,2015,5,2.2548300412841193,
39.126776,-76.445482,2015,6,33.63912630579298,
39.126776,-76.445482,2015,7,14.150419473000118,
39.126776,-76.445482,2015,8,0.0,
39.126776,-76.445482,2015,9,2.6410449199922885,
39.126776,-76.445482,2015,10,11.104553735836555,
39.126776,-76.445482,2015,11,0.0,
39.126776,-76.445482,2015,12,0.0,
39.126776,-76.445482,2016,4,8.739677464877833,
39.126776,-76.445482,2016,5,1.9458142977929886,
39.126776,-76.445482,2016,6,33.427689594356266,
39.126776,-76.445482,2016,7,13.835809540393582,
39.126776,-76.445482,2016,8,0.0,
39.126776,-76.445482,2016,9,2.5175952702268494,
39.126776,-76.445482,2016,10,10.073289426252666,
39.126776,-76.445482,2016,11,0.0,
39.126776,-76.445482,2016,12,0.0,
39.126776,-76.445482,2017,4,10.172196856888421,
39.126776,-76.445482,2017,5,1.9805564682874555,
39.126776,-76.445482,2017,6,33.19413919413919,
39.126776,-76.445482,2017,7,14.329993718788286,
39.126776,-76.445482,2017,8,0.0,
39.126776,-76.445482,2017,9,2.4682668208983998,
39.126776,-76.445482,2017,10,8.403172221626836,
39.126776,-76.445482,2017,11,0.0,
39.126776,-76.445482,2017,12,0.0,
39.126776,-76.445482,2018,4,9.640934539190352,
39.126776,-76.445482,2018,5,2.0242218101024516,
39.126776,-76.445482,2018,6,33.9965404965405,
39.126776,-76.445482,2018,7,14.675449998030642,
39.126776,-76.445482,2018,8,0.0,
39.126776,-76.445482,2018,9,2.6125891652207445,
39.126776,-76.445482,2018,10,11.415589286932121,
39.126776,-76.445482,2018,11,0.0,
39.126776,-76.445482,2018,12,0.0,
39.126776,-76.445482,2019,4,9.409482711426444,
39.126776,-76.445482,2019,5,2.0718047486894022,
