ID,Location Type,Species,Common Name,Space Type,Address,Street,Side,DBH,# of stems,Height,Space length,Space Width,Overhead Utilities,Hardscape,Cultivar,Date,Notes,X Coordinate,Y Coordinate,x,y
237031,Street,Quercus rubra,"oak, northern red",Tree Lawn,3050,LIBERTY HEIGHTS AVE,Side,1.6,1,10,>20,8,None,None, ,"5/15/2017, 8:00 PM", ,-76.66747164,39.32313419,1406406.7190262526,603447.0187511742
237035,Street,Acer palmatum,"maple, Japanese",Open/Unrestricted,3403,WABASH AVE,Front,13.1,1,20,>20,>20,None,None, ,"5/15/2017, 8:00 PM",cavity or decay,-76.66617241,39.32331137,1406774.0388296694,603512.8965721726
237044,Street,Quercus robur,"oak, English",Tree Lawn,3106,LIBERTY HEIGHTS AVE,Side,1.1,1,10,>20,8,None,None, ,"5/15/2017, 8:00 PM",poor location,-76.6685436,39.32342562,1406103.0752765834,603552.0664413422
237051,Street,Ulmus x,"elm, hybrid",Median/Island,3110,LIBERTY HEIGHTS AVE,Front,1.9,1,11,>20,10,None,None, ,"5/15/2017, 8:00 PM", ,-76.66933306,39.32350264,1405879.6331381798,603579.3101532608
237053,Street,Ulmus parvifolia,"elm, Chinese",Median/Island,3102,LIBERTY HEIGHTS AVE,Front,10.2,1,24,>20,10,None,None, ,"5/15/2017, 8:00 PM", ,-76.66798693,39.3230963,1406260.9939240068,603432.6893835068
237087,Street,Quercus rubra,"oak, northern red",Tree Lawn,3050,LIBERTY HEIGHTS AVE,Side,25,1,50,>20,8,None,None, ,"5/15/2017, 8:00 PM", ,-76.66744074,39.32319235,1406415.3830509186,603468.2352441698
237113,Street,Platanus x acerifolia,"planetree, London",Open/Unrestricted,3405,WABASH AVE,Front,46.7,1,70,>20,>20,None,None, ,"5/15/2017, 8:00 PM",vines >50%,-76.66614531,39.32336267,1406781.6359273344,603531.609133169
237146,Street,Ulmus x,"elm, hybrid",Tree Lawn,3110,LIBERTY HEIGHTS AVE,Side,3.1,1,15,>20,6,None,None, ,"5/15/2017, 8:00 PM", ,-76.66938498,39.3236948,1405864.6918950975,603649.2463650852
237165,Street,Ulmus parvifolia,"elm, Chinese",Median/Island,3110,LIBERTY HEIGHTS AVE,Front,9.1,1,22,>20,10,None,None, ,"5/15/2017, 8:00 PM", ,-76.66924655,39.32347316,1405904.1471967548,603568.6615525037
237168,Street,Aesculus x carnea,"horsechestnut, red",Tree Lawn,3402,WABASH AVE,Front,13.5,1,30,20,8,None,None, ,"5/15/2017, 8:00 PM",DBH at 1,-76.66631766,39.3234204,1406732.8023635894,603552.4601413459
237173,Street,Styphnolobium japonicum,Japanese pagodatree,Tree Lawn,3403,ROSEDALE ROAD,Front,31,1,40,>20,8,None,None, ,"5/15/2017, 8:00 PM",cavity or decay,-76.66719459,39.32368633,1406484.3651964217,603648.4140176773
237189,Street,Ulmus americana,"elm, American",Median/Island,3050,LIBERTY HEIGHTS AVE,Front,2.1,1,8,>20,10,None,None, ,"5/15/2017, 8:00 PM", ,-76.66751577,39.32296001,1406394.4657699168,603383.5303610861
237249,Street,Quercus rubra,"oak, northern red",Tree Lawn,3050,LIBERTY HEIGHTS AVE,Side,25.3,1,55,>20,8,None,None, ,"5/15/2017, 8:00 PM", ,-76.66739543,39.32329035,1406428.0733142644,603503.9769705832
237274,Street,Quercus rubra,"oak, northern red",Tree Lawn,3100,LIBERTY HEIGHTS AVE,Side,23.2,1,50,>20,8,None,None, ,"5/15/2017, 8:00 PM", ,-76.66745445,39.32339356,1406411.2387022525,603541.5083915889
237275,Street,Ulmus parvifolia,"elm, Chinese",Median/Island,3106,LIBERTY HEIGHTS AVE,Front,8.2,1,20,>20,10,None,None, ,"5/15/2017, 8:00 PM", ,-76.66879131,39.32333373,1406033.1177393347,603518.3430835903
237278,Street,Aesculus x carnea,"horsechestnut, red",Open/Unrestricted,3413,WABASH AVE,Front,7.3,1,20,>20,>20,None,None, ,"5/15/2017, 8:00 PM",cavity or decay,-76.66601839,39.3235822,1406817.2493731678,603611.7021488398
237280,Street,Ulmus x,"elm, hybrid",Tree Lawn,3104,LIBERTY HEIGHTS AVE,Side,3.5,1,15,>20,8,None,None, ,"5/15/2017, 8:00 PM", ,-76.66834788,39.3235776,1406158.2418329269,603607.6224325895
237320,Street,Quercus robur,"oak, English",Tree Lawn,3110,LIBERTY HEIGHTS AVE,Side,1.8,1,12,>20,6,None,None, ,"5/15/2017, 8:00 PM", ,-76.6693422,39.32378471,1405876.6764511764,603682.0382942557
