FID,Site_Name,Season_Pla,Planting_T,NPDES_Cred,Grant1,Grant2,Grant3,Grant4,Grant5,Tree_Sourc,Address,Address_No,Utility_No,Site_Notes,Tree_Locat,City,County,State,Zip_Code,Tree_Size,Common_Nam,USDA_Code,Genus,Species,Cultivar,Condition,Tree_Notes,Date_Plant,Planting_F,FollowUp_D,Bed_Status,Bed_Width,Bed_Length,Concrete_W,Concrete_L,Concrete_R,Concrete_F,Under_Main,Planted,Watered,Stakes,Greenwells,Mower_Guar,Deer_Fenci,Maint_Need,First_Prun,First_Pr_1,Second_Pru,Second_P_1,Resident_E,Resdient_P,Resident_F,Feedback_N,Resident_T,Last_Surve,DBH,OG_Season_,First_Repl,Second_Rep,Past_Tree_,Past_Tree1,Concrete_1,MulchedYN,BGE_pres,Cut,Excavated,Backfilled,x,y
1,AshCoEast/CoppinHeights,2023SP,Street,Baltimore City,CBT Urban Trees 22 20742, , , , , ,1600 Moreland Ave, , , , ,Baltimore,Baltimore City,MD,21216,S,American Hornbeam,CACA18,Carpinus,caroliniana, ,Alive, ,3/11/2023 12:00:00 AM, , ,S,3,0,0,0,0, ,Y,Y,Y,Y,Y,Y, , , ,, ,, , ,Supportive, , ,, , , , , , , , , , , , ,-76.6561707181387,39.3063708526007
2,AshCoEast/CoppinHeights,2023SP,Street,Baltimore City,CBT Urban Trees 22 20742, , , , , ,1600 Moreland Ave, , , , ,Baltimore,Baltimore City,MD,21216,S,American Hornbeam,CACA18,Carpinus,caroliniana, ,Alive, ,3/11/2023 12:00:00 AM, , ,S,3,0,0,0,0, ,Y,Y,Y,Y,Y,Y, , , ,, ,, , ,Supportive, , ,, , , , , , , , , , , , ,-76.6559607055792,39.3063789454891
3,AshCoEast/CoppinHeights,2023SP,Street,Baltimore City,CBT Urban Trees 22 20742, , , , , ,1601 Moreland Ave, , , , ,Baltimore,Baltimore City,MD,21216,M,American Hornbeam,CACA18,Carpinus,caroliniana, ,Alive, ,, , ,S,4,0,0,0,0, ,Y,Y,Y,Y,Y,Y, , , ,, ,, , ,No_Answer, , ,, , , , , , , , , , , , ,-76.655402381388,39.3063983474761
4,AshCoEast/CoppinHeights,2023SP,Street,Baltimore City,CBT Urban Trees 22 20742, , , , , ,1701 Moreland Ave, , , , ,Baltimore,Baltimore City,MD,21216,S,Cockspur Hawthorn,CRCR2,Crataegus,crusgalli, ,Alive, ,, , ,S,4,0,0,0,0, ,Y,Y,Y,Y,Y,Y, , , ,, ,, , ,No_Answer, , ,, , , , , , , , , , , , ,-76.6553475967742,39.307653108261
5,AshCoEast/CoppinHeights,2023SP,Street,Baltimore City,CBT Urban Trees 22 20742, , , , , ,1507 N Bentalou St, , , , ,Baltimore,Baltimore City,MD,21216,S,American Hornbeam,CACA18,Carpinus,caroliniana, ,Alive, ,, , ,S,3,0,0,0,0, ,Y,Y,Y,Y,Y,Y, , , ,, ,, , ,Vacant, , ,, , , , , , , , , , , , ,-76.6537910785174,39.3053373757019
6,AshCoEast/CoppinHeights,2023SP,Street,Baltimore City,CBT Urban Trees 22 20742, , , , , ,1500 N Smallwood St, , , , ,Baltimore,Baltimore City,MD,21216,S,Cockspur Hawthorn,CRCR2,Crataegus,crusgalli, ,Alive, ,, , ,S,3,0,0,0,0, ,Y,Y,Y,Y,Y,Y, , , ,, ,, , ,Vacant, , ,, , , , , , , , , , , , ,-76.6524976342545,39.3054984362208
7,AshCoEast/CoppinHeights,2023SP,Street,Baltimore City,CBT Urban Trees 22 20742, , , , , ,1508 N Smallwood St, , , , ,Baltimore,Baltimore City,MD,21216,S,Cockspur Hawthorn,CRCR2,Crataegus,crusgalli, ,Alive, ,, , ,S,3,0,0,0,0, ,Y,Y,Y,Y,Y,Y, , , ,, ,, , ,No_Answer, , ,, , , , , , , , , , , , ,-76.6525131193103,39.3056993709841
8,AshCoEast/CoppinHeights,2023SP,Street,Baltimore City,CBT Urban Trees 22 20742, , , , , ,1512 N Smallwood St, , , , ,Baltimore,Baltimore City,MD,21216,S,Canadian Serviceberry,AMCA4,Amelanchier,canadensis, ,Alive, ,, , ,S,3,0,0,0,0, ,Y,Y,Y,Y,Y,Y, , , ,, ,, , ,No_Answer, , ,, , , , , , , , , , , , ,-76.6525220541683,39.3058008196551
9,AshCoEast/CoppinHeights,2023SP,Street,Baltimore City,CBT Urban Trees 22 20742, , , , , ,1520 N Smallwood St, , , , ,Baltimore,Baltimore City,MD,21216,S,Canadian Serviceberry,AMCA4,Amelanchier,canadensis, ,Alive, ,, , ,S,3,0,0,0,0, ,Y,Y,Y,Y,Y,Y, , , ,, ,, , ,New_Request, ,Redbud,, , , , , , , , , , , , ,-76.6525317228969,39.3060139820523
10,AshCoEast/CoppinHeights,2023SP,Street,Baltimore City,CBT Urban Trees 22 20742, , , , , ,2701 Presbury St, , ,North, ,Baltimore,Baltimore City,MD,21216,L,Sweetgum,LIST2,Liquidambar,styraciflua, ,Alive, ,, , ,S,5,0,0,0,0, ,Y,Y,Y,Y,Y,Y, , , ,, ,, , ,Vacant, , ,, , , , , , , , , , , , ,-76.66099191061,39.307277370145
