collection_date,latitude,longitude,Enterococcus Bacteria (MPN/100mL) - A2LA Lab,Enterococcus Bacteria (MPN/100mL) - BWB Lab
2009-05-08,39.263507,-76.623106,930.0,
2009-05-08,39.248491,-76.610539,430.0,
2009-05-08,39.25579,-76.610105,93.0,
2009-05-15,39.283701,-76.603718,2300.0,
2009-05-15,39.276857,-76.596738,2300.0,
2009-05-22,39.263507,-76.623106,23.0,
2009-05-22,39.248491,-76.610539,9.0,
2009-05-22,39.25579,-76.610105,4.0,
2009-05-29,39.283701,-76.603718,93.0,
2009-05-29,39.276857,-76.596738,2300.0,
2009-06-15,39.283701,-76.603718,230.0,
2009-06-15,39.276857,-76.596738,4.0,
2009-06-19,39.283701,-76.603718,2300.0,
2009-06-19,39.276857,-76.596738,29.0,
2009-06-26,39.263507,-76.623106,2.0,
2009-06-26,39.248491,-76.610539,2.0,
2009-06-26,39.25579,-76.610105,0.0,
2009-07-10,39.263507,-76.623106,0.0,
2009-07-10,39.248491,-76.610539,2.0,
2009-07-10,39.25579,-76.610105,0.0,
2009-07-17,39.283701,-76.603718,110.0,
2009-07-17,39.276857,-76.596738,0.0,
2009-07-24,39.263507,-76.623106,300.0,
2009-07-24,39.248491,-76.610539,500.0,
2009-07-24,39.25579,-76.610105,170.0,
2009-07-31,39.283701,-76.603718,500.0,
2009-07-31,39.276857,-76.596738,230.0,
2009-08-07,39.263507,-76.623106,8.0,
2009-08-07,39.248491,-76.610539,23.0,
2009-08-07,39.25579,-76.610105,2.0,
2009-08-14,39.283701,-76.603718,500.0,
2009-08-14,39.276857,-76.596738,170.0,
2009-08-21,39.263507,-76.623106,40.0,
2009-08-21,39.248491,-76.610539,80.0,
2009-08-21,39.25579,-76.610105,0.0,
2009-08-28,39.283701,-76.603718,1600000.0,
2009-08-28,39.276857,-76.596738,23000.0,
2009-09-04,39.263507,-76.623106,4.0,
2009-09-04,39.248491,-76.610539,23.0,
2009-09-04,39.25579,-76.610105,4.0,
2009-09-11,39.283701,-76.603718,300000.0,
2009-09-11,39.276857,-76.596738,2300.0,
2009-09-18,39.263507,-76.623106,170.0,
2009-09-18,39.248491,-76.610539,300.0,
2009-09-18,39.25579,-76.610105,17.0,
2009-10-02,39.25579,-76.610105,23.0,
2009-10-09,39.283701,-76.603718,3000.0,
2009-10-09,39.276857,-76.596738,220.0,
2009-10-16,39.263507,-76.623106,50000.0,
2009-10-16,39.248491,-76.610539,3000.0,
2009-10-16,39.25579,-76.610105,3000.0,
2009-11-06,39.283701,-76.603718,500.0,
2009-11-06,39.276857,-76.596738,50.0,
2009-11-20,39.283701,-76.603718,23000.0,
2009-11-20,39.276857,-76.596738,5000.0,
2009-12-11,39.283701,-76.603718,3000.0,
2009-12-11,39.276857,-76.596738,8000.0,
2011-05-20,39.283701,-76.603718,9210.0,
2011-05-20,39.276857,-76.596738,2480.0,
2011-05-20,39.276674,-76.573921,560.0,
2011-05-25,39.262607,-76.575771,10.0,
2011-05-25,39.263507,-76.623106,80.0,
2011-05-25,39.248491,-76.610539,50.0,
2011-05-25,39.25579,-76.610105,0.0,
2011-06-01,39.283701,-76.603718,1330.0,
2011-06-01,39.276857,-76.596738,30.0,
2011-06-01,39.276674,-76.573921,10.0,
2011-06-08,39.262607,-76.575771,10.0,
2011-06-08,39.263507,-76.623106,0.0,
2011-06-08,39.248491,-76.610539,50.0,
2011-06-08,39.25579,-76.610105,0.0,
